"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"01-APR-2026","AGIIL","Agi Infra Limited","ARIHANT CAPITAL MARKETS LIMITED","SELL","7,18,127","288.29","-"
"01-APR-2026","AGIIL","Agi Infra Limited","ARIHANT CAPITAL MARKETS LIMITED","BUY","7,96,454","287.38","-"
"01-APR-2026","ATALREAL","Atal Realtech Limited","MAHESH MULCHAND WAGHELA","BUY","7,85,218","22.21","-"
"01-APR-2026","ATALREAL","Atal Realtech Limited","RANJANBEN SHAH","SELL","6,63,000","22.09","-"
"01-APR-2026","DALMIASUG","Dalmia Bharat Sug In Ltd","IRAGE BROKING SERVICES LLP","SELL","2,51,770","403.01","-"
"01-APR-2026","DALMIASUG","Dalmia Bharat Sug In Ltd","IRAGE BROKING SERVICES LLP","BUY","4,87,585","404.08","-"
"01-APR-2026","DALMIASUG","Dalmia Bharat Sug In Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","7,57,833","400.51","-"
"01-APR-2026","DALMIASUG","Dalmia Bharat Sug In Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","7,58,899","400.38","-"
"01-APR-2026","DALMIASUG","Dalmia Bharat Sug In Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","5,82,790","400.53","-"
"01-APR-2026","DALMIASUG","Dalmia Bharat Sug In Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","5,82,790","400.25","-"
"01-APR-2026","EIEL","Enviro Infra Engineers L","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","12,28,994","161.49","-"
"01-APR-2026","EIEL","Enviro Infra Engineers L","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","12,28,994","161.43","-"
"01-APR-2026","GUJALKALI","Gujarat Alkalies & Chem","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","7,29,807","588.81","-"
